org,verdict,blocks,self_blocks,ext_blocks,srcs,months,nums,w_before,w_fail,w_actor,dual,own_channel,channels,examples
AWS,CORE,21,0,21,14,8,82,13,0,7,1,0,AWS Events:11;Databricks:2;Siemens:2;AWS Developers:2,transcripts/channels/Salesforce/HBF_Health_Delivers_Faster_Support_with_Agentforce_&_Amazon___EJttlSA_0GM.md@0|transcripts/channels/Databricks/How_Databricks_+_AWS_Help_Enterprises_Take_GenAI_to_Producti__Q6jRdpF6yXE.md@7000|transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md@93000
CRM,CORE,20,0,20,14,9,64,10,1,5,2,0,Zapier:5;KW:2026-07-26:3;OpenAI:2;ServiceNow:2,"transcripts/2026-08-03/How_to_Build_an_AI_Agent_with_Claude_Code_(Claude_AI_Agent_T__bcM9dP_uXJU.md@11000|transcripts/channels/Salesforce/Build_Businesses_with_Agentforce_360__zCeehPxEM_g.md@5000|transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md@6000"
Cursor,CORE,20,4,16,14,6,94,6,3,13,0,1,Weights & Biases:5;Cursor:4;KW:2026-07-28:2;Zapier:2,"transcripts/2026-07-28/AI_Agents_getting_to_90%,_the_AI_adoption_playbook_for_Enter__01NYw3PzqiI.md@0|transcripts/2026-07-28/AI_Agents_getting_to_90%,_the_AI_adoption_playbook_for_Enter__01NYw3PzqiI.md@1000|transcripts/channels/Cursor/Opening_Keynote,_Michael_Truell_Compile_26__fWa7uxyhVDE.md@0"
Databricks,CORE,20,17,3,14,5,60,8,0,11,2,1,Databricks:17;Zapier:2;Replit:1,"transcripts/channels/Replit/Replit_for_Enterprise_with_Kody_Low_+_Nick_Co__IP8SRLgqtWU.md@8000|transcripts/channels/Databricks/Sam_Altman_and_Ali_Ghodsi_OpenAI_+_Databricks,_AI_Agents_in___gz1sOEETcgE.md@7000|transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md@49000"
GitHub,CORE,19,8,11,14,9,46,8,2,4,2,1,GitHub:8;Weights & Biases:4;Google Cloud Tech:2;Zapier:1,transcripts/channels/Google_Cloud_Tech/Build_AI_agents_on_Cloud_Run__zthWHEU3Y7M.md@7000|transcripts/channels/Google_Cloud_Tech/Build_AI_agents_on_Cloud_Run__zthWHEU3Y7M.md@8000|transcripts/channels/Zapier/From_Zero_to_Millions_in_ARR_How_AI-Powered_Builders_Are_Sca__rHyqHuZ93Z4.md@4000
세일즈포스,CORE,17,0,17,11,7,85,5,0,5,0,0,Salesforce:14;Replit:2;Waymo:1,"transcripts/channels/Replit/Custom_Sales_Tools_with_Replit_Your_Salesforce,_Your_Way__Aoj095r_288.md@25000|transcripts/channels/Replit/Jason_Lemkin_Built_7_Production_Apps_in_3_Months_with_Replit__ikOrCS67TeI.md@2000|transcripts/channels/Salesforce/Salesforce_Agentforce_Powering_the_Agentic_Revolution__TmSgq1QKmZ0.md@0"
Slack,CORE,17,0,17,9,7,46,6,0,5,0,0,Salesforce:13;Zapier:2;OpenAI:1;Weights & Biases:1,transcripts/channels/Salesforce/Salesforce_Agentforce_Powering_the_Agentic_Revolution__TmSgq1QKmZ0.md@0|transcripts/channels/Salesforce/Agentforce_Marketing_Keynote_Connections_2026__9g-S56GGhN0.md@5000|transcripts/channels/Salesforce/Introducing..._the_NEW_Slack!__vYUqOU-QV-o.md@0
OpenAI,CORE,15,5,10,14,6,35,8,3,8,2,1,OpenAI:5;Weights & Biases:2;Pinecone:2;Cursor:1,"transcripts/channels/Cursor/Running_128_Coding_Agents_at_Once__-jnwTZ789V0.md@12000|transcripts/channels/OpenAI/Win_through_AI_powered_products_Conor_Spicer,_Solutions_Engi__re-18gil_ec.md@0|transcripts/channels/OpenAI/OpenAI_on_OpenAI_Stacie_Faggioli,_Business_Finance_Officer_A__1NtS2KdnDok.md@2000"
Google,CORE,15,0,15,13,8,32,7,0,4,0,0,Zapier:4;Google Cloud Tech:3;Weights & Biases:2;KW:2026-08-03:1,transcripts/2026-08-03/Gemini_Enterprise_Agent_Platform_is_here._(RIP_Vertex_AI)__5MxBkBgdCJc.md@0|transcripts/channels/OpenAI/Plugins_in_ChatGPT__pKwRNdDtai0.md@0|transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__7awKinJhGPo.md@12000
메타,CORE,15,0,15,12,11,55,7,2,5,0,0,AWS Developers:3;Google Cloud Tech:2;Qdrant:2;Replit:1,"transcripts/channels/Replit/Entrepreneurs_The_New_Playbook_with_Troy_Osinoff,_Nik_Sharma__RtTxm6VV2N8.md@7000|transcripts/channels/Meta_Developers/[ASL]_Your_First_Steps_into_Immersive_Web_Development__cG-Wjfaqhic.md@1000|transcripts/channels/Google_Cloud_Tech/NoSQL_for_modern_apps_and_AI_The_future_of_Memorystore,_Fire__Y7HwVL3LdNo.md@19000"
Amazon,CORE,15,0,15,9,5,60,10,0,5,2,0,AWS Events:10;Siemens:2;AWS Developers:2;Salesforce:1,transcripts/channels/Salesforce/HBF_Health_Delivers_Faster_Support_with_Agentforce_&_Amazon___EJttlSA_0GM.md@0|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@8000|transcripts/channels/AWS_Events/AWS_Summit_Bengaluru_2026_Innovators_Edition_Keynote_AWS_Eve__CprBATdRoh0.md@9000
하이브,CORE,14,0,14,11,7,30,5,1,2,0,0,Google Cloud Tech:4;NVIDIA:3;Arm:2;Weaviate:2,transcripts/2026-08-03/Introducing_Agentex_Open-Source_Infrastructure_for_Enterpris__rEhkP6oztMw.md@8000|transcripts/channels/NVIDIA/GTC_SJ_2026_The_AI_Native_Digital_Health_Stack_A_Developer's__iWsKSxyfRIA.md@5000|transcripts/channels/NVIDIA/How_NVIDIA_Runs_Its_Own_AI_Factory_AI_Factory_Insider_Ep._2__Jpsq_-1kJTo.md@5000
PDF,CORE,14,0,14,11,9,27,11,1,5,1,0,Salesforce:2;Zapier:2;Microsoft Azure:2;Qdrant:2,transcripts/channels/Salesforce/Dissecting_the_State_of_Marketing_in_2026_Salesforce__rS5MfhB8RkY.md@5000|transcripts/channels/Salesforce/Dissecting_the_State_of_Marketing_in_2026_Salesforce__rS5MfhB8RkY.md@6000|transcripts/channels/Upstage/Best_Option_Simplifies_True_Advance’s_Underwriting_Stack_wit__kT6HmgwQTmQ.md@0
I'm,CORE,12,0,12,9,9,21,11,0,5,0,0,Replit:4;Salesforce:2;Zapier:2;Hugging Face:2,"transcripts/channels/Replit/Vices_Are_the_New_Virtues_Amjad_Masad_on_AI,_Athletes,_and_V__cTL8OyzM0AI.md@15000|transcripts/channels/Replit/The_Untold_Chaos_Behind_a_$3_Billion_AI_Startup_Launch__zB1lpGNWVtg.md@39000|transcripts/channels/Replit/The_Untold_Chaos_Behind_a_$3_Billion_AI_Startup_Launch__zB1lpGNWVtg.md@40000"
Oracle,CORE,10,4,6,9,4,37,4,0,2,0,1,Oracle:4;Google Cloud Tech:3;SAP:1;Microsoft Azure:1,transcripts/channels/SAP/SAP_Datasphere_&_BDC_Top_New_Features_June_2026__raUQR_fhmns.md@0|transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__7awKinJhGPo.md@12000|transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__quzn4hOXQmI.md@12000
Microsoft,CORE,9,0,9,8,6,28,4,0,5,2,0,Microsoft Azure:4;KW:2026-08-03:1;Alibaba Cloud:1;Weights & Biases:1,transcripts/2026-08-03/Why_AI_Adoption_Fails_in_Engineering_Teams_I_Meetup_#39__HDJaNBuRWYI.md@1000|transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@9000|transcripts/channels/Weights_&_Biases/Mastering_model_customization_fine-tuning_Azure_OpenAI_servi__N1CI8Ld0-PA.md@14000
Replit,CORE,9,9,0,7,4,20,3,0,5,0,1,Replit:9,"transcripts/channels/Replit/Replit_for_Enterprise_with_Kody_Low_+_Nick_Co__IP8SRLgqtWU.md@1000|transcripts/channels/Replit/Replit_for_Enterprise_with_Kody_Low_+_Nick_Co__IP8SRLgqtWU.md@8000|transcripts/channels/Replit/Vices_Are_the_New_Virtues_Amjad_Masad_on_AI,_Athletes,_and_V__cTL8OyzM0AI.md@15000"
ERP,CORE,8,0,8,7,4,21,5,1,1,0,0,SAP:3;KW:2026-07-26:2;Palantir:1;Oracle:1,transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Orlando___9aa-etRsaLU.md@3000|transcripts/channels/SAP/Asset_Management_in_SAP_Cloud_ERP_Expert_Talk__fyx68fY2be0.md@3000|transcripts/channels/SAP/Financial_Closing_Assistant_Demo_SAP_Sapphire_Orlando_2026__HEEyMt9mC34.md@0
SQL,CORE,8,0,8,6,3,18,5,0,3,0,0,Google Cloud Tech:6;Qdrant:1;AWS Developers:1,"transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__7awKinJhGPo.md@13000|transcripts/channels/Google_Cloud_Tech/Power_intelligent_agents_with_AI-native_databases__7awKinJhGPo.md@14000|transcripts/channels/Google_Cloud_Tech/What's_new_in_Cloud_SQL_Drive_performance,_high_availability__zKXbKmpqWB0.md@1000"
Azure,CORE,8,0,8,5,3,25,2,0,1,0,0,Microsoft Azure:5;Weights & Biases:2;Microsoft Developer:1,transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md@1000|transcripts/channels/Weights_&_Biases/GitHub_CEO_Thomas_Dohmke_on_Copilot_and_the_Future_of_Softwa__PPs5lZ2syv4.md@5000|transcripts/channels/Weights_&_Biases/GitHub_CEO_Thomas_Dohmke_on_Copilot_and_the_Future_of_Softwa__PPs5lZ2syv4.md@6000
Agentic,CORE,7,0,7,7,4,34,4,0,1,0,0,Salesforce:3;Accenture:1;AWS Events:1;Qdrant:1,transcripts/channels/Salesforce/Agentforce_World_Tour_NYC_Main_Keynote_2025_Salesforce__sSIB8rZTkew.md@5000|transcripts/channels/Salesforce/Siemens_Customer_Interview_Dreamforce_2025__m9P-jp-ZSJQ.md@1000|transcripts/channels/Salesforce/See_What's_New_in_Agentforce_World_Tour_NYC_2025_Salesforce__1HwD8Nk56AU.md@1000
SDR,CORE,7,0,7,6,5,29,5,0,2,0,0,Salesforce:4;Zapier:3,"transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md@7000|transcripts/channels/Salesforce/Win_More_Sales_Salesforce_Agentforce_for_Sales_Productivity__fJxyv1bYJoc.md@8000|transcripts/channels/Salesforce/Transforming_Sales_Salesforce_Agentforce,_ROI_&_Measurement___r56cqNOgwHE.md@2000"
Weights,CORE,7,0,7,5,5,26,5,0,4,1,0,Weights & Biases:7,"transcripts/channels/Weights_&_Biases/Are_Humanoid_Robots_Actually_Coming_to_Your_Home_Nikolaus,_R__vvvwWv5BK-s.md@1000|transcripts/channels/Weights_&_Biases/W&B_Models_end-to-end_demo__FkTwcxnSPes.md@1000|transcripts/channels/Weights_&_Biases/The_$8.6B_Self-Driving_AI_Backed_by_Nvidia_and_Uber_Alex_Ken__k5wgts8y-xU.md@21000"
Spanner,CORE,7,0,7,4,1,22,0,0,3,0,0,Google Cloud Tech:7,transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__gV5NEo8-LFI.md@5000|transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__gV5NEo8-LFI.md@6000|transcripts/channels/Google_Cloud_Tech/What's_new_in_Google_Cloud_databases_for_the_agentic_era__mSCxP1tzGsw.md@11000
Waymo,CORE,7,7,0,3,2,12,2,1,5,0,1,Waymo:7,transcripts/channels/Waymo/Scale_AI’s_TransformX_Fireside_Chat_with_Waymo_co-CEO_Dmitri__wF8m2Wt1Ij8.md@5000|transcripts/channels/Waymo/Scale_AI’s_TransformX_Presentation_with_Waymo_Head_of_Resear__oJ96bgmSaW0.md@5000|transcripts/channels/Waymo/Scale_AI’s_TransformX_Presentation_with_Waymo_Head_of_Resear__oJ96bgmSaW0.md@6000
ARM,CORE,7,7,0,3,3,11,2,0,1,0,1,Arm:7,transcripts/channels/Arm/Arm_Viewpoints_How_AI_and_biometrics_are_powering_equitable___vQBRR7c_8IM.md@7000|transcripts/channels/Arm/Arm_Viewpoints_How_AI_and_biometrics_are_powering_equitable___vQBRR7c_8IM.md@8000|transcripts/channels/Arm/COMPUTEX_2026_Arm_CEO_Keynote_The_foundation_for_the_agentic__wTa3qCHJjtQ.md@8000
SAS,CORE,6,0,6,5,4,32,0,0,3,0,0,Zapier:2;KW:2026-07-26:2;KW:2026-08-03:1;Intel:1,transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md@4000|transcripts/channels/Zapier/From_Zero_to_Millions_in_ARR_How_AI-Powered_Builders_Are_Sca__rHyqHuZ93Z4.md@16000|transcripts/channels/Zapier/From_Zero_to_Millions_in_ARR_How_AI-Powered_Builders_Are_Sca__rHyqHuZ93Z4.md@17000
AMD,CORE,6,1,5,5,4,21,1,0,0,1,1,Microsoft Azure:2;Meta Developers:1;AMD:1;Weights & Biases:1,transcripts/channels/Meta_Developers/The_Developer’s_Edge_Advanced_VR_Tooling_Unleashed__rD6II6ud4LU.md@15000|transcripts/channels/AMD/The_Future_of_Work_Why_IT_Leaders_are_Turning_to_AI_PCs__75rU1ZTik1c.md@0|transcripts/channels/Weights_&_Biases/Training_video_models_at_scale_with_Adobe_Firefly__7_CDKqENl0g.md@17000
Codex,CORE,6,0,6,5,3,15,4,0,3,0,0,OpenAI:2;NVIDIA Developer:2;Cerebras:1;KW:2026-07-26:1,"transcripts/channels/OpenAI/Win_through_AI_powered_products_Conor_Spicer,_Solutions_Engi__re-18gil_ec.md@0|transcripts/channels/OpenAI/Why_Tejal_Patwardhan_stopped_underestimating_the_models_-_Ep__CFqjjKp9Y-Q.md@10000|transcripts/channels/Cerebras/Building_Fast_with_OpenAI's_Codex_Spark,_Powered_by_Cerebras__teR1JelXJpE.md@0"
Meta,CORE,5,0,5,5,4,29,0,0,1,0,0,Meta Developers:2;KW:2026-08-03:1;Cohere:1;Arm:1,"transcripts/2026-08-03/Why_AI_Adoption_Fails_in_Engineering_Teams_I_Meetup_#39__HDJaNBuRWYI.md@1000|transcripts/channels/Meta_Developers/Performance_Unleashed_Maximizing_Meta_Quest_in_2025__iZgHcsPM9lk.md@12000|transcripts/channels/Meta_Developers/VR_Developer_Level_Up_Ep._1_Success_Stories,_Agentic_Tools_&__ebIV8ZzjMf0.md@0"
CUDA,PART,5,0,5,5,4,9,3,0,0,0,0,NVIDIA:2;IBM Technology:1;NVIDIA Developer:1;Arm:1,transcripts/channels/NVIDIA/NVIDIA_GTC_2026_Healthcare_Special_Address__TCOU1imv09U.md@6000|transcripts/channels/NVIDIA/CEO_Fireside_Chat_With_Jensen_Huang_and_Pascal_Daloz_at_Dass__3e6dR82pmdU.md@13000|transcripts/channels/IBM_Technology/Hugging_Face_breach_OpenAI’s_model_breaks_containment__7eCM7jsfbeA.md@14000
Postgres,CORE,5,0,5,5,1,17,0,0,3,0,0,Google Cloud Tech:3;Microsoft Developer:2,transcripts/channels/Microsoft_Developer/Linux_and_PostgreSQL_in_the_Multiverse_of_Connections_POSETT__rSoK4xVIGyc.md@0|transcripts/channels/Microsoft_Developer/PostgreSQL_17_vs_18_Side‑by‑Side_Performance_Wins_in_Real‑Wo__XCv9Tviftgo.md@2000|transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__gV5NEo8-LFI.md@5000
ETL,CORE,5,0,5,5,3,16,0,0,1,0,0,Google Cloud Tech:3;Databricks:1;Weights & Biases:1,transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__gV5NEo8-LFI.md@6000|transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__ZaR4aInpm6A.md@6000|transcripts/channels/Google_Cloud_Tech/Boost_AI_context_with_hybrid_search_in_Spanner__fAf4Zh-CC08.md@6000
Intel,CORE,5,4,1,5,4,26,4,0,2,0,1,Intel:4;Snowflake:1,transcripts/channels/Snowflake/Snowflake_Summit_2026_Opening_Keynote_With_Sridhar_Ramaswamy__F34xlRoQ3eQ.md@12000|transcripts/channels/Intel/Direct_Connect_2025_Keynote_Intel__0ED7n2g8lO0.md@19000|transcripts/channels/Intel/Intel_Foundry_Direct_Connect_2025_Synopsys__HrVhqpgVm_M.md@1000
POC,CORE,5,0,5,4,3,24,3,1,1,0,0,NVIDIA:2;KW:2026-08-03:1;Snowflake:1;KW:2026-07-18:1,transcripts/2026-08-03/The_Production_AI_Playbook_Deploying_Agents_at_Enterprise_Sc__ObTPqBGsEbA.md@13000|transcripts/channels/NVIDIA/How_NVIDIA_Runs_Its_Own_AI_Factory_AI_Factory_Insider_Ep._2__Jpsq_-1kJTo.md@3000|transcripts/channels/NVIDIA/How_NVIDIA_Runs_Its_Own_AI_Factory_AI_Factory_Insider_Ep._2__Jpsq_-1kJTo.md@4000
KT,CORE,5,0,5,4,2,39,1,0,4,1,0,KW:2026-08-03:3;KW:2026-07-22:2,"transcripts/2026-08-03/한국_경제_대기업_구조조정,_AI가_직원을_대체하는_현실__D9IRghlcwz0.md@3000|transcripts/2026-08-03/IMF_때보다_더_심각하다_3만원짜리_AI로_전부_대체_중,_줄줄이_희망퇴직_받는_대기업_정규직의_몰락__moja9e9m55A.md@2000|transcripts/2026-08-03/[집중진단]_AI발_대규모_구조조정…취업시장_향방은___mdjxr4nYeI.md@2000"
MRI,CORE,5,0,5,4,3,18,2,1,1,0,0,NVIDIA Developer:2;Philips:1;Intel:1;GE HealthCare:1,transcripts/channels/Philips/Why_Lived_Experience_Matters_in_Digital_Health_&_AI_Healthca__NJzIYjcnYig.md@5000|transcripts/channels/Intel/The_AI-Powered_Enterprise_Insights_from_Lumen_Technologies_I__JUfwnwpbx0M.md@5000|transcripts/channels/NVIDIA_Developer/Frontiers_of_AI_and_Computing_A_Conversation_With_Yann_LeCun__eyrDM3A_YFc.md@4000
MVP,PART,5,0,5,4,3,6,1,0,5,0,0,McKinsey & Company:2;Replit:1;Databricks:1;Microsoft Azure:1,transcripts/channels/Replit/Replit_Agent_3_First_Look__4FxNXFOdt6w.md@2000|transcripts/channels/Databricks/How_Mastercard_standardizes_on_Lakebase_to_power_agentic_ope__oyl2XgCpW7E.md@1000|transcripts/channels/Microsoft_Azure/Oracle_AI_Database@Azure_MVP_Spotlight_Series_-_Episode_2__R6mml-94m4o.md@11000
Anthropic,CORE,5,0,5,4,4,18,0,1,4,1,0,ServiceNow:2;Cursor:1;Weights & Biases:1;Pinecone:1,transcripts/channels/Cursor/Running_128_Coding_Agents_at_Once__-jnwTZ789V0.md@12000|transcripts/channels/Weights_&_Biases/Unlocking_the_potential_of_MLOps_and_LLMOps__7hxec4M48XY.md@9000|transcripts/channels/ServiceNow/Welcome_to_Agentic_Business_ServiceNow_Knowledge_2026_Openin__jeo2V1w-Peg.md@18000
Cortex,CORE,5,0,5,4,3,11,3,2,3,0,0,Snowflake:2;McKinsey & Company:2;OpenAI:1,transcripts/channels/OpenAI/Codex_Unlocks_Next_Level_Intelligence_for_Balyasny_Asset_Man__m1PV1a9BWao.md@0|transcripts/channels/Snowflake/Snow_Report_What's_Happening_At_Snowflake_in_November__Q62KrDEtOwo.md@0|transcripts/channels/Snowflake/Snowflake_Build_London_Keynote__9LOP86qaw34.md@16000
RAN,CORE,5,0,5,4,2,30,2,0,0,0,0,Nokia:5,"transcripts/channels/Nokia/The_emergence_of_AI_RAN_and_its_commercial_viability__vFdBNy9ChIc.md@2000|transcripts/channels/Nokia/The_emergence_of_AI_RAN_and_its_commercial_viability__vFdBNy9ChIc.md@3000|transcripts/channels/Nokia/Networked_How_can_openness,_AI,_and_cloud-native_architectur__JB7hJ4kQo8M.md@3000"
Joule,CORE,5,0,5,3,1,12,5,1,0,0,0,SAP:5,transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Madrid_2__CocpyxAizwE.md@7000|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Madrid_2__CocpyxAizwE.md@8000|transcripts/channels/SAP/Global_Keynote_The_Beginning_of_Better_SAP_Sapphire_Orlando___9aa-etRsaLU.md@4000
PRD,PART,5,0,5,3,3,7,5,3,2,0,0,OpenAI:2;Intel:2;Zapier:1,"transcripts/channels/OpenAI/Customer_Ignite_Talk_Emily_Prince_(Group_Head_of_AI,_LSEG)_&__LJKzZAH0bEw.md@4000|transcripts/channels/OpenAI/Customer_Ignite_Talk_Emily_Prince_(Group_Head_of_AI,_LSEG)_&__LJKzZAH0bEw.md@5000|transcripts/channels/Zapier/From_Zero_to_Millions_in_ARR_How_AI-Powered_Builders_Are_Sca__rHyqHuZ93Z4.md@9000"
Hugging Face,CORE,5,0,5,3,3,11,2,0,3,0,0,NVIDIA Developer:4;Qdrant:1,transcripts/channels/Qdrant/Finding_the_Right_Embedding_Model_for_Your_AI_Application_wi__ZUIAmtribPo.md@13000|transcripts/channels/NVIDIA_Developer/Post-Train_NVIDIA_Cosmos_3_With_TAO_7_Agent_Skills__9AQkVbx3fKA.md@2000|transcripts/channels/NVIDIA_Developer/Post-Train_NVIDIA_Cosmos_3_With_TAO_7_Agent_Skills__9AQkVbx3fKA.md@3000
Coda,THIN,5,0,5,1,1,31,5,0,0,0,0,Alibaba Cloud:5,transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@0|transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@1000|transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md@6000
