axis,axis_title,score,n_sent,date,channel,hq,layer,relevance,stance,title,quote,url,file
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,17.0,8,,삼성SDS and KASMO 인공지능혁신추진단,KW,(미분류),ax_core,anti_washing,제조업 AX의 골든 타임 ⏰ 중요한 것은 AI 도입보다 이것?! 📢 IT슈다 EP. 제조,그러니까 정부가 DX 그다음에 AX 하는데 마중물의 예산을 지원해 줄 테니 거기서 나오는 데이터의 일부는 또 공공에서 활용할 수 있도록 좀 이렇게 문을 열어 달라 요런 정도의 메시지로 이제 협약을 하고는 있습니다,https://www.youtube.com/watch?v=iAbE9YXnbqA,transcripts/2026-07-18/제조업_AX의_골든_타임_⏰_중요한_것은_AI_도입보다_이것!_📢_IT슈다_EP._제조__iAbE9YXnbqA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,17.0,8,,삼성SDS and KASMO 인공지능혁신추진단,KW,(미분류),ax_core,anti_washing,제조업 AX의 골든 타임 ⏰ 중요한 것은 AI 도입보다 이것?! 📢 IT슈다 EP. 제조,체질를 바꾸는 DX에서 AX로 전환을 하면서 필수적으로 클라우드에 클라우드와 뭐 통합 데이터 환경 아니면 강력한 보안 이런 것들이 당연히 밑에 깔려 있어야 된다고 생각이 들어요,https://www.youtube.com/watch?v=iAbE9YXnbqA,transcripts/2026-07-18/제조업_AX의_골든_타임_⏰_중요한_것은_AI_도입보다_이것!_📢_IT슈다_EP._제조__iAbE9YXnbqA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.5,5,,한국지역정보개발원,KW,(미분류),ax_core,anti_washing,2026 'AI 로 구현하는 지역 AX' 시리즈 - 제3회 KLID-FNF 온라인세미나,AI가 어떤지 본질적인 이해를 하고 AI가 잘하는 것과 못하는 것을 구분하고 그리고 어떤 분들께서 또 질문을 하셨지만 윤리적인 것이나 보완적인 리스크 테이킹에 대한 부분들도 이해를 해야 되지만 사실은이 AX라는 것은 결과적으로 우리가 기존에 해 왔던 DX의 연잔 성상에 있다라는 부분들을 좀 이해해 주시면 좋겠습니다,https://www.youtube.com/watch?v=i6Br6_ImXaA,transcripts/2026-07-27/2026_'AI_로_구현하는_지역_AX'_시리즈_-_제3회_KLID-FNF_온라인세미나__i6Br6_ImXaA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.5,5,,한국지역정보개발원,KW,(미분류),ax_core,anti_washing,2026 'AI 로 구현하는 지역 AX' 시리즈 - 제3회 KLID-FNF 온라인세미나,"어 사실 AI와 AI, 그러니까 AX, AI에 대전환 그리고 그 이전에 DX가 있었고 이런 것들에 대한 아직 조금 용어 정의라든지 이런 것도 좀 덜된 상황이 아닌가 그니까 그렇게 좀 정확하게 정의를 내리고 조직을 만들고 해야 되는데 어 사실 좀 말씀드리기 조심스럽지만 이제 이제 TF 성격의 어떤 전략 주직들이 광진국뿐만이 아니라 모든 지자체에 생기는 걸로 저는 알고 있어요",https://www.youtube.com/watch?v=i6Br6_ImXaA,transcripts/2026-07-27/2026_'AI_로_구현하는_지역_AX'_시리즈_-_제3회_KLID-FNF_온라인세미나__i6Br6_ImXaA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.5,5,,한국지역정보개발원,KW,(미분류),ax_core,anti_washing,2026 'AI 로 구현하는 지역 AX' 시리즈 - 제3회 KLID-FNF 온라인세미나,그런데 DX가 사실 제가 좀 안타까운 건 DX가 굉장히 미완성인데도 불구하고 여기에서의 레슨런이 없는 상태에서 다시 ax라는 것을 하고 있다라는 겁니다,https://www.youtube.com/watch?v=i6Br6_ImXaA,transcripts/2026-07-27/2026_'AI_로_구현하는_지역_AX'_시리즈_-_제3회_KLID-FNF_온라인세미나__i6Br6_ImXaA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.5,5,,한국지역정보개발원,KW,(미분류),ax_core,anti_washing,2026 'AI 로 구현하는 지역 AX' 시리즈 - 제3회 KLID-FNF 온라인세미나,그러다 보니까 결국 결과적으로는 AX의 사업을 열어보면 DX가 제대로 안 돼 있는 부분들이 발목을 잡게 됩니다,https://www.youtube.com/watch?v=i6Br6_ImXaA,transcripts/2026-07-27/2026_'AI_로_구현하는_지역_AX'_시리즈_-_제3회_KLID-FNF_온라인세미나__i6Br6_ImXaA.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.0,4,,메타코드M,KW,(미분류),ax_core,anti_washing,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",그래서 dx와 ax의 근본적인 차이는 디지털 transformation 어 디지털 기술 기반의 프로세스의 개성을 효율화 중심이었다면 AI가 원래 내포되었지만 이거를 조금 특화로 해서 지능형 그리고 고도화 그리고 자동화대 문제 해결 중심의 어 의미로 해석되고 있습니다,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.0,4,,메타코드M,KW,(미분류),ax_core,anti_washing,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",트랜스포메이션과 AI 트랜스포메이션의 차이점을 분석해 본다면 디지털 전환에서 AI 전환이라는 말 그대로 인공지능 기술 중심으로 고도화되고 진능화된 부분을 의미합니다,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.0,4,,메타코드M,KW,(미분류),ax_core,anti_washing,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",그래서 AI 전환의 근무적인 시사점을 말씀드리면 AX는 DX의 단순한 확장이 아니라 비즈니스 패러다임의 근본전인 전환을 의미하고 있습니다,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,14.0,4,,메타코드M,KW,(미분류),ax_core,anti_washing,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",기업 AX 전략의 어 핵심 포인트는 첫 번째 AX와 DX의 차별점을 인지하고요,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,10.5,3,,티타임즈TV,KW,(미분류),ax_core,anti_washing,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),어느 정도 디지털 트랜스포메이션을 잘했어라고 하는 기업들은이 디지털 트랜스포메이션의 맨 마지막 단계인 데이터를 분석하고 그것을 기업 내의 목적에 따라서 활용하는 그 부분에 AI를 적용하시면 됩니다,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,10.5,3,,티타임즈TV,KW,(미분류),ax_core,anti_washing,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),그래도 디지털 트랜스포메이션이라든지 빅데이터라든지 이런 것들이 10여년 이상 진행해 왔기 때문에 우리는 데이터가 많습니다,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,10.5,3,,티타임즈TV,KW,(미분류),ax_core,anti_washing,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),DX 단계에서 보면 디지타이제이션 디지털 포맷으로 만드는 정도가 된 거지.,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,9.0,2,,LG CNS,KW,(미분류),ax_core,washing,LG CNS | Leading the Future of Chemical Industry with AX (AI Transformation)🌍,Going beyond digital transformation toward AI transformation with rich experience and cuttingedge AI technologies.,https://www.youtube.com/watch?v=tdUBajpHiGY,transcripts/2026-07-21/LG_CNS_Leading_the_Future_of_Chemical_Industry_with_AX_(AI_T__tdUBajpHiGY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,9.0,2,,LG CNS,KW,(미분류),ax_core,washing,LG CNS | Leading the Future of Chemical Industry with AX (AI Transformation)🌍,"Going beyond digital transformation toward AI transformation, LGCNS is leading the global change.",https://www.youtube.com/watch?v=tdUBajpHiGY,transcripts/2026-07-21/LG_CNS_Leading_the_Future_of_Chemical_Industry_with_AX_(AI_T__tdUBajpHiGY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,8.5,3,,KBS강원,KW,(미분류),ax_core,neutral,[AI 시사상식] ‘AX’ 인공지능 전환 / KBS  2026.06.10.,하지만 지금 우리는 DX를 넘어 인류의 삼과 산업을 또 한 번 뒤운데 거대한 지각 변동을 [음악] 맞이하고 있습니다,https://www.youtube.com/watch?v=ZmCHLkystDY,transcripts/2026-07-18/[AI_시사상식]_‘AX’_인공지능_전환_KBS_2026.06.10.__ZmCHLkystDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,8.5,3,,KBS강원,KW,(미분류),ax_core,neutral,[AI 시사상식] ‘AX’ 인공지능 전환 / KBS  2026.06.10.,또 회사에서 그로베어나 클라우드 시스템을 통해 디지털로 문서 관리를 한 것이 DX였다면 [음악] 프로젝트 기획 자체를 AI와 함께 해내는 것이 AX 시대라고 [음악] 볼 수 있죠,https://www.youtube.com/watch?v=ZmCHLkystDY,transcripts/2026-07-18/[AI_시사상식]_‘AX’_인공지능_전환_KBS_2026.06.10.__ZmCHLkystDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,8.5,3,,KBS강원,KW,(미분류),ax_core,neutral,[AI 시사상식] ‘AX’ 인공지능 전환 / KBS  2026.06.10.,인터넷 스마트폰 뱅킹이 DX 시대였다면 AI 상담사를 통해 [음악] 금융 서비스를 받는 것이 AX 시대라고 볼 수 있습니다,https://www.youtube.com/watch?v=ZmCHLkystDY,transcripts/2026-07-18/[AI_시사상식]_‘AX’_인공지능_전환_KBS_2026.06.10.__ZmCHLkystDY.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,7.0,2,,CHRONO ETERNUS,KW,(미분류),ax_core,neutral,The Efficiency Trap (DX vs. AX),"그리고 이것이 바로 DX와 AX, 즉 AI 전환의 차이점으로 이어집니다",https://www.youtube.com/watch?v=XdYZNoBu_no,transcripts/2026-08-01/The_Efficiency_Trap_(DX_vs._AX)__XdYZNoBu_no.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,7.0,2,,CHRONO ETERNUS,KW,(미분류),ax_core,neutral,The Efficiency Trap (DX vs. AX),"디지털 전환은 생산성을 향상시키지만, AI 전환은 산업을 완전히 뒤흔들고 재편할 것입니다",https://www.youtube.com/watch?v=XdYZNoBu_no,transcripts/2026-08-01/The_Efficiency_Trap_(DX_vs._AX)__XdYZNoBu_no.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,6.0,2,,조코딩AX파트너스-랩스 and 조코딩AX파트너스,KW,(미분류),ax_core,neutral,AI adoption? Watch this video 10 times. (I'll feed you everything.),AIformation [음악] 기존 DX에서 한 단계 더 나아간 개념입니다,https://www.youtube.com/watch?v=1f5ijgzt1-I,transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,6.0,2,,조코딩AX파트너스-랩스 and 조코딩AX파트너스,KW,(미분류),ax_core,neutral,AI adoption? Watch this video 10 times. (I'll feed you everything.),DX가 사람이 하던 일을 디지털로 옮긴 거라면 AX는 사람이 [음악] 하던 일을 AI가 하는 거예요,https://www.youtube.com/watch?v=1f5ijgzt1-I,transcripts/2026-07-04/AI_adoption_Watch_this_video_10_times._(I'll_feed_you_everyt__1f5ijgzt1-I.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,6.0,2,2026-07-20,KT,,,,,KT 에이블스쿨 10기 모집설명회,"에이블 스쿨은 2021년부터 쌓아온 실무 AI 인재육성 노하우를 기반으로 약 3,500명 이상의 수료생을 배출해 내고 또 그 수료생들이 500개가 넘는 기업에 취업해서 명실상부 시장에서 인정받는 AIDX 실무 인제 경력 같은 신입을 양성하는 양성소입니다",https://www.youtube.com/watch?v=0WphLSKUbDw,transcripts/channels/KT/KT_에이블스쿨_10기_모집설명회__0WphLSKUbDw.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,6.0,2,2026-07-20,KT,,,,,KT 에이블스쿨 10기 모집설명회,"그리고 고객의 디지털 전환을 제안하는 DX트랙에서는 기업과 공공 기관, 정보 등을 대상으로 고속도로 무단 투기 탐지 AX 솔루션 그리고 구조지 강화를 위한 AI 기반 시나리오 예측 분석 시스템 등 AI 기반의 서비스와 클라우드를 포함한 인프라 설계를 제한하는 컨설팅을 해 봅니다",https://www.youtube.com/watch?v=0WphLSKUbDw,transcripts/channels/KT/KT_에이블스쿨_10기_모집설명회__0WphLSKUbDw.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,5.0,2,2026-06-23,SoftBank,JP,수요기업·기타,ax_core,neutral,FY2025 Business Report,"법인 고객에 대한 지원도 DX에서 AX, 즉 AI 트랜스포메이션으로 크게 [음악] 퍼지고 있습니다",https://www.youtube.com/watch?v=bs15CGhcCZo,transcripts/channels/SoftBank/FY2025_Business_Report__bs15CGhcCZo.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,5.0,2,2026-06-23,SoftBank,JP,수요기업·기타,ax_core,neutral,FY2025 Business Report,DX에서 AX로 솔루션 매출 2 자리 [음악] 성장을 실현.,https://www.youtube.com/watch?v=bs15CGhcCZo,transcripts/channels/SoftBank/FY2025_Business_Report__bs15CGhcCZo.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,5.0,2,2026-06-23,SoftBank,JP,수요기업·기타,ax_core,neutral,ソフトバンク株式会社 2025年度 事業報告,"법인 고객에 대한 지원도 DX에서 AX, 즉 AI 트랜스포메이션으로 크게 [음악] 퍼지고 있습니다",https://www.youtube.com/watch?v=FC4dnJR1ap8,transcripts/channels/SoftBank/ソフトバンク株式会社_2025年度_事業報告__FC4dnJR1ap8.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,5.0,2,2026-06-23,SoftBank,JP,수요기업·기타,ax_core,neutral,ソフトバンク株式会社 2025年度 事業報告,DX에서 AX로 솔루션 매출 2 자리 [음악] 성장을 실현.,https://www.youtube.com/watch?v=FC4dnJR1ap8,transcripts/channels/SoftBank/ソフトバンク株式会社_2025年度_事業報告__FC4dnJR1ap8.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,4.5,1,,AI 콘텐츠 마케팅 연구소,KW,(미분류),ax_core,washing,AX 100배의 법칙- 나와 조직의 능력을 100배 높이는 AI 경영의 실제 책 리뷰,DX가 주로 IT 부서가 주도해서 업무 효율을 좀 높이는 프로젝트에 가까웠다면 AX는 CEO가 직접 우리 회사의 생존을 걸고 회사의 본질 자체를 바꾸는 거의 혁명에 가깝습니다.이 결정적인 차이는 바로 생성형 AI에 등장이죠,https://www.youtube.com/watch?v=5z-KnbcVX2o,transcripts/2026-07-22/AX_100배의_법칙-_나와_조직의_능력을_100배_높이는_AI_경영의_실제_책_리뷰__5z-KnbcVX2o.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,4.5,1,,MIT Corporate Relations,KW,(미분류),ax_core,washing,Integrating Generative AI Into Business Strategy: Dr. George Westerman,저는 AI를 디지털 전환의 다음 단계라고 생각합니다,https://www.youtube.com/watch?v=9RvWcXVaAng,transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,3.5,1,2026-04-11,NVIDIA Developer,US,인프라·칩·전력,ax_core,anti_washing,Reinforcement Learning at Scale: Engineering the Next Generation of Intelligence,그리고 PeriodX의 저희 회사는 다음 단계의 성장을 염두에 두고 있습니다,https://www.youtube.com/watch?v=BMyY1pXcjnE,transcripts/channels/NVIDIA_Developer/Reinforcement_Learning_at_Scale_Engineering_the_Next_Generat__BMyY1pXcjnE.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,3.5,1,2026-01-08,Siemens,DE,물리 AI·자율주행,ax_core,neutral,How PepsiCo Uses Digital Twins & AI to Rethink Manufacturing,"당신에게는 그것이 디지털 전환이기도 하겠지만, 인공지능까지 포함하고 있기 때문에 어쩌면 그 이상의 의미를 가질 수도 있겠네요",https://www.youtube.com/watch?v=YkTGMNQ9_FI,transcripts/channels/Siemens/How_PepsiCo_Uses_Digital_Twins_&_AI_to_Rethink_Manufacturing__YkTGMNQ9_FI.md
A,AX/DX 개념 경계 — AX를 DX와 구분하거나 'DX의 심화'로 규정하는 발언,3.5,1,,정보통신산업진흥원 NIPA,KW,(미분류),ax_core,anti_washing,지역 산업 AI 전환(AX)의 필연적 전략  | INSIGHT VIEW,[음악] 지역 산업이 단순한 디지털 전환을 넘어 AI 기반의 진흥화 시대에 진입하고 있어요,https://www.youtube.com/watch?v=y634UN2bnvU,transcripts/2026-07-26/지역_산업_AI_전환(AX)의_필연적_전략_INSIGHT_VIEW__y634UN2bnvU.md
